id,text,embedding_text
chunk:chapter I|article 3|clause 2|point c:6,"động, trợ cấp hưu trí một lần, trợ cấp tuất hàng tháng và các khoản trợ cấp khác theo quy định của pháp luật về bảo hiểm xã hội; trợ","[chapter I | article 3 | clause 2 | point c] động, trợ cấp hưu trí một lần, trợ cấp tuất hàng tháng và các khoản trợ cấp khác theo quy định của pháp luật về bảo hiểm xã hội; trợ"
chunk:chapter I|article 3|clause 2|point c:7,"bảo hiểm xã hội; trợ cấp thôi việc, trợ cấp mất việc làm; trợ cấp mang tính chất bảo trợ xã hội và các khoản phụ cấp, trợ cấp, thu","[chapter I | article 3 | clause 2 | point c] bảo hiểm xã hội; trợ cấp thôi việc, trợ cấp mất việc làm; trợ cấp mang tính chất bảo trợ xã hội và các khoản phụ cấp, trợ cấp, thu"
chunk:chapter I|article 3|clause 2|point c:8,"phụ cấp, trợ cấp, thu nhập khác không mang tính chất tiền lương, tiền công do Chính phủ quy định.","[chapter I | article 3 | clause 2 | point c] phụ cấp, trợ cấp, thu nhập khác không mang tính chất tiền lương, tiền công do Chính phủ quy định."
chunk:chapter I|article 3|clause 3|point a:1,a) Tiền lãi cho vay;,[chapter I | article 3 | clause 3 | point a] a) Tiền lãi cho vay;
chunk:chapter I|article 3|clause 3|point b:1,b) Lợi tức cổ phần;,[chapter I | article 3 | clause 3 | point b] b) Lợi tức cổ phần;
chunk:chapter I|article 3|clause 3|point c:1,c) Thu nhập từ đầu tư vốn dưới các hình thức khác.,[chapter I | article 3 | clause 3 | point c] c) Thu nhập từ đầu tư vốn dưới các hình thức khác.
chunk:chapter I|article 3|clause 4|point a:1,a) Thu nhập từ chuyển nhượng phần vốn trong các tổ chức kinh tế;,[chapter I | article 3 | clause 4 | point a] a) Thu nhập từ chuyển nhượng phần vốn trong các tổ chức kinh tế;
chunk:chapter I|article 3|clause 4|point b:1,b) Thu nhập từ chuyển nhượng chứng khoán;,[chapter I | article 3 | clause 4 | point b] b) Thu nhập từ chuyển nhượng chứng khoán;
chunk:chapter I|article 3|clause 4|point c:1,c) Thu nhập từ chuyển nhượng vốn dưới các hình thức khác.,[chapter I | article 3 | clause 4 | point c] c) Thu nhập từ chuyển nhượng vốn dưới các hình thức khác.
chunk:chapter I|article 3|clause 5|point a:1,a) Thu nhập từ chuyển nhượng quyền sử dụng đất và tài sản gắn liền với đất;,[chapter I | article 3 | clause 5 | point a] a) Thu nhập từ chuyển nhượng quyền sử dụng đất và tài sản gắn liền với đất;
chunk:chapter I|article 3|clause 5|point b:1,b) Thu nhập từ chuyển nhượng quyền sở hữu hoặc sử dụng nhà ở;,[chapter I | article 3 | clause 5 | point b] b) Thu nhập từ chuyển nhượng quyền sở hữu hoặc sử dụng nhà ở;
chunk:chapter I|article 3|clause 5|point c:1,"c) Thu nhập từ chuyển nhượng quyền thuê đất, quyền thuê mặt nước;","[chapter I | article 3 | clause 5 | point c] c) Thu nhập từ chuyển nhượng quyền thuê đất, quyền thuê mặt nước;"
chunk:chapter I|article 3|clause 5|point d:1,d) Các khoản thu nhập khác nhận được từ chuyển nhượng bất động sản dưới mọi hình thức.,[chapter I | article 3 | clause 5 | point d] d) Các khoản thu nhập khác nhận được từ chuyển nhượng bất động sản dưới mọi hình thức.
chunk:chapter I|article 3|clause 6|point a:1,a) Trúng thưởng xổ số;,[chapter I | article 3 | clause 6 | point a] a) Trúng thưởng xổ số;
chunk:chapter I|article 3|clause 6|point b:1,b) Trúng thưởng trong các hình thức khuyến mại;,[chapter I | article 3 | clause 6 | point b] b) Trúng thưởng trong các hình thức khuyến mại;
chunk:chapter I|article 3|clause 6|point c:1,c) Trúng thưởng trong các hình thức đặt cược;,[chapter I | article 3 | clause 6 | point c] c) Trúng thưởng trong các hình thức đặt cược;
chunk:chapter I|article 3|clause 6|point d:1,"d) Trúng thưởng trong các trò chơi, cuộc thi có thưởng và các hình thức trúng thưởng khác, trừ trúng thưởng trong casino.","[chapter I | article 3 | clause 6 | point d] d) Trúng thưởng trong các trò chơi, cuộc thi có thưởng và các hình thức trúng thưởng khác, trừ trúng thưởng trong casino."
chunk:chapter I|article 3|clause 7|point a:1,"a) Thu nhập từ chuyển giao, chuyển quyền sử dụng các đối tượng của quyền sở hữu trí tuệ;","[chapter I | article 3 | clause 7 | point a] a) Thu nhập từ chuyển giao, chuyển quyền sử dụng các đối tượng của quyền sở hữu trí tuệ;"
chunk:chapter I|article 3|clause 7|point b:1,b) Thu nhập từ chuyển giao công nghệ.,[chapter I | article 3 | clause 7 | point b] b) Thu nhập từ chuyển giao công nghệ.
chunk:chapter I|article 3|clause 8:1,8. Thu nhập từ nhượng quyền thương mại.,[chapter I | article 3 | clause 8] 8. Thu nhập từ nhượng quyền thương mại.
chunk:chapter I|article 3|clause 9:1,"9. Thu nhập từ nhận thừa kế, quà tặng là chứng khoán, phần vốn trong các tổ chức kinh tế, cơ sở kinh doanh, bất động sản và các tài","[chapter I | article 3 | clause 9] 9. Thu nhập từ nhận thừa kế, quà tặng là chứng khoán, phần vốn trong các tổ chức kinh tế, cơ sở kinh doanh, bất động sản và các tài"
chunk:chapter I|article 3|clause 9:2,động sản và các tài sản phải đăng ký sở hữu hoặc đăng ký sử dụng.,[chapter I | article 3 | clause 9] động sản và các tài sản phải đăng ký sở hữu hoặc đăng ký sử dụng.
chunk:chapter I|article 3|clause 10|point a:1,a) Thu nhập từ chuyển nhượng tên miền internet quốc gia Việt Nam “.vn”;,[chapter I | article 3 | clause 10 | point a] a) Thu nhập từ chuyển nhượng tên miền internet quốc gia Việt Nam “.vn”;
chunk:chapter I|article 3|clause 10|point b:1,"b) Thu nhập từ chuyển nhượng kết quả giảm phát thải khí nhà kính, tín chỉ các bon;","[chapter I | article 3 | clause 10 | point b] b) Thu nhập từ chuyển nhượng kết quả giảm phát thải khí nhà kính, tín chỉ các bon;"
chunk:chapter I|article 3|clause 10|point c:1,c) Thu nhập từ chuyển nhượng biển số xe trúng đấu giá theo quy định của pháp luật;,[chapter I | article 3 | clause 10 | point c] c) Thu nhập từ chuyển nhượng biển số xe trúng đấu giá theo quy định của pháp luật;
chunk:chapter I|article 3|clause 10|point d:1,d) Thu nhập từ chuyển nhượng tài sản số;,[chapter I | article 3 | clause 10 | point d] d) Thu nhập từ chuyển nhượng tài sản số;
chunk:chapter I|article 3|clause 10|point d:1,"đ) Thu nhập từ chuyển nhượng vàng miếng. Chính phủ quy định ngưỡng giá trị vàng miếng chịu thuế, thời điểm áp dụng thu và điều chỉnh thuế suất thuế","[chapter I | article 3 | clause 10 | point d] đ) Thu nhập từ chuyển nhượng vàng miếng. Chính phủ quy định ngưỡng giá trị vàng miếng chịu thuế, thời điểm áp dụng thu và điều chỉnh thuế suất thuế"
chunk:chapter I|article 3|clause 10|point d:2,điều chỉnh thuế suất thuế thu nhập cá nhân đối với chuyển nhượng vàng miếng phù hợp với lộ trình quản lý thị trường vàng.,[chapter I | article 3 | clause 10 | point d] điều chỉnh thuế suất thuế thu nhập cá nhân đối với chuyển nhượng vàng miếng phù hợp với lộ trình quản lý thị trường vàng.
chunk:chapter I|article 3|clause 11:1,"11. Chính phủ quy định chi tiết Điều này và việc quy đổi thu nhập chịu thuế nhận được không bằng tiền, không bằng Đồng Việt Nam.","[chapter I | article 3 | clause 11] 11. Chính phủ quy định chi tiết Điều này và việc quy đổi thu nhập chịu thuế nhận được không bằng tiền, không bằng Đồng Việt Nam."
chunk:chapter I|article 4|clause 1:1,"1. Thu nhập từ chuyển nhượng, nhận thừa kế, quà tặng là bất động sản giữa vợ với chồng; cha đẻ, mẹ đẻ với con đẻ; cha nuôi, mẹ nuôi","[chapter I | article 4 | clause 1] 1. Thu nhập từ chuyển nhượng, nhận thừa kế, quà tặng là bất động sản giữa vợ với chồng; cha đẻ, mẹ đẻ với con đẻ; cha nuôi, mẹ nuôi"
chunk:chapter I|article 4|clause 1:2,"đẻ; cha nuôi, mẹ nuôi với con nuôi; cha chồng, mẹ chồng với con dâu; cha vợ, mẹ vợ với con rể; ông nội, bà nội với cháu nội; ông","[chapter I | article 4 | clause 1] đẻ; cha nuôi, mẹ nuôi với con nuôi; cha chồng, mẹ chồng với con dâu; cha vợ, mẹ vợ với con rể; ông nội, bà nội với cháu nội; ông"
chunk:chapter I|article 4|clause 1:3,"nội với cháu nội; ông ngoại, bà ngoại với cháu ngoại; anh, chị, em ruột với nhau.","[chapter I | article 4 | clause 1] nội với cháu nội; ông ngoại, bà ngoại với cháu ngoại; anh, chị, em ruột với nhau."
chunk:chapter I|article 4|clause 2:1,"2. Thu nhập từ chuyển nhượng nhà ở, quyền sử dụng đất ở và tài sản gắn liền với đất ở của cá nhân trong trường hợp cá nhân chỉ","[chapter I | article 4 | clause 2] 2. Thu nhập từ chuyển nhượng nhà ở, quyền sử dụng đất ở và tài sản gắn liền với đất ở của cá nhân trong trường hợp cá nhân chỉ"
chunk:chapter I|article 4|clause 2:2,"trường hợp cá nhân chỉ có một nhà ở, đất ở duy nhất tại Việt Nam.","[chapter I | article 4 | clause 2] trường hợp cá nhân chỉ có một nhà ở, đất ở duy nhất tại Việt Nam."
chunk:chapter I|article 4|clause 3:1,3. Thu nhập từ giá trị quyền sử dụng đất của cá nhân được Nhà nước giao đất.,[chapter I | article 4 | clause 3] 3. Thu nhập từ giá trị quyền sử dụng đất của cá nhân được Nhà nước giao đất.
chunk:chapter I|article 4|clause 4:1,"4. Thu nhập của hộ gia đình, cá nhân trực tiếp sản xuất sản phẩm cây trồng, rừng trồng, chăn nuôi, thủy sản nuôi trồng, đánh bắt chưa qua chế","[chapter I | article 4 | clause 4] 4. Thu nhập của hộ gia đình, cá nhân trực tiếp sản xuất sản phẩm cây trồng, rừng trồng, chăn nuôi, thủy sản nuôi trồng, đánh bắt chưa qua chế"
chunk:chapter I|article 4|clause 4:2,đánh bắt chưa qua chế biến thành các sản phẩm khác hoặc chỉ qua sơ chế thông thường; sản xuất muối; thu nhập từ lợi tức cổ phần của thành,[chapter I | article 4 | clause 4] đánh bắt chưa qua chế biến thành các sản phẩm khác hoặc chỉ qua sơ chế thông thường; sản xuất muối; thu nhập từ lợi tức cổ phần của thành
chunk:chapter I|article 4|clause 4:3,"tức cổ phần của thành viên hợp tác xã, liên hiệp hợp tác xã nông nghiệp, cá nhân là nông dân ký kết hợp đồng với doanh nghiệp tham gia","[chapter I | article 4 | clause 4] tức cổ phần của thành viên hợp tác xã, liên hiệp hợp tác xã nông nghiệp, cá nhân là nông dân ký kết hợp đồng với doanh nghiệp tham gia"
chunk:chapter I|article 4|clause 4:4,"với doanh nghiệp tham gia “Cánh đồng lớn”, trồng rừng sản xuất, nuôi trồng thủy sản.","[chapter I | article 4 | clause 4] với doanh nghiệp tham gia “Cánh đồng lớn”, trồng rừng sản xuất, nuôi trồng thủy sản."
chunk:chapter I|article 4|clause 5:1,"5. Thu nhập từ chuyển đổi đất nông nghiệp của hộ gia đình, cá nhân được Nhà nước giao để sản xuất.","[chapter I | article 4 | clause 5] 5. Thu nhập từ chuyển đổi đất nông nghiệp của hộ gia đình, cá nhân được Nhà nước giao để sản xuất."
chunk:chapter I|article 4|clause 6:1,"6. Thu nhập từ lãi trái phiếu chính phủ, lãi trái phiếu chính quyền địa phương, lãi tiền gửi tại tổ chức tín dụng, lãi từ hợp đồng bảo hiểm","[chapter I | article 4 | clause 6] 6. Thu nhập từ lãi trái phiếu chính phủ, lãi trái phiếu chính quyền địa phương, lãi tiền gửi tại tổ chức tín dụng, lãi từ hợp đồng bảo hiểm"
chunk:chapter I|article 4|clause 6:2,từ hợp đồng bảo hiểm nhân thọ.,[chapter I | article 4 | clause 6] từ hợp đồng bảo hiểm nhân thọ.
chunk:chapter I|article 4|clause 7:1,7. Thu nhập từ kiều hối.,[chapter I | article 4 | clause 7] 7. Thu nhập từ kiều hối.
chunk:chapter I|article 4|clause 8:1,"8. Tiền lương làm việc ban đêm, làm thêm giờ, tiền lương, tiền công trả cho những ngày không nghỉ phép theo quy định của pháp luật.","[chapter I | article 4 | clause 8] 8. Tiền lương làm việc ban đêm, làm thêm giờ, tiền lương, tiền công trả cho những ngày không nghỉ phép theo quy định của pháp luật."
chunk:chapter I|article 4|clause 9:1,"9. Tiền lương hưu do Quỹ bảo hiểm xã hội chi trả; thu nhập do quỹ bảo hiểm hưu trí bổ sung, quỹ hưu trí tự nguyện chi trả.","[chapter I | article 4 | clause 9] 9. Tiền lương hưu do Quỹ bảo hiểm xã hội chi trả; thu nhập do quỹ bảo hiểm hưu trí bổ sung, quỹ hưu trí tự nguyện chi trả."
chunk:chapter I|article 4|clause 10|point a:1,a) Học bổng nhận được từ ngân sách nhà nước;,[chapter I | article 4 | clause 10 | point a] a) Học bổng nhận được từ ngân sách nhà nước;
chunk:chapter I|article 4|clause 10|point b:1,b) Học bổng nhận được từ tổ chức trong nước và ngoài nước theo chương trình hỗ trợ khuyến học của tổ chức đó.,[chapter I | article 4 | clause 10 | point b] b) Học bổng nhận được từ tổ chức trong nước và ngoài nước theo chương trình hỗ trợ khuyến học của tổ chức đó.
chunk:chapter I|article 4|clause 11:1,"11. Thu nhập từ bồi thường hợp đồng bảo hiểm nhân thọ, phi nhân thọ, tiền bồi thường tai nạn lao động, khoản bồi thường nhà nước và các khoản","[chapter I | article 4 | clause 11] 11. Thu nhập từ bồi thường hợp đồng bảo hiểm nhân thọ, phi nhân thọ, tiền bồi thường tai nạn lao động, khoản bồi thường nhà nước và các khoản"
chunk:chapter I|article 4|clause 11:2,nhà nước và các khoản bồi thường khác theo quy định của pháp luật.,[chapter I | article 4 | clause 11] nhà nước và các khoản bồi thường khác theo quy định của pháp luật.
chunk:chapter I|article 4|clause 12:1,"12. Thu nhập nhận được từ các tổ chức và quỹ từ thiện được cơ quan nhà nước có thẩm quyền cho phép thành lập hoặc công nhận, hoạt động","[chapter I | article 4 | clause 12] 12. Thu nhập nhận được từ các tổ chức và quỹ từ thiện được cơ quan nhà nước có thẩm quyền cho phép thành lập hoặc công nhận, hoạt động"
chunk:chapter I|article 4|clause 12:2,"hoặc công nhận, hoạt động vì mục đích từ thiện, nhân đạo, không vì mục tiêu lợi nhuận.","[chapter I | article 4 | clause 12] hoặc công nhận, hoạt động vì mục đích từ thiện, nhân đạo, không vì mục tiêu lợi nhuận."
chunk:chapter I|article 4|clause 13:1,"13. Thu nhập nhận được từ nguồn viện trợ nước ngoài vì mục đích từ thiện, nhân đạo dưới hình thức chính phủ và phi chính phủ được cơ quan","[chapter I | article 4 | clause 13] 13. Thu nhập nhận được từ nguồn viện trợ nước ngoài vì mục đích từ thiện, nhân đạo dưới hình thức chính phủ và phi chính phủ được cơ quan"
chunk:chapter I|article 4|clause 13:2,chính phủ được cơ quan nhà nước có thẩm quyền phê duyệt.,[chapter I | article 4 | clause 13] chính phủ được cơ quan nhà nước có thẩm quyền phê duyệt.
chunk:chapter I|article 4|clause 14:1,"14. Thu nhập từ tiền lương, tiền công của thuyền viên là người Việt Nam làm việc cho các hãng tàu nước ngoài hoặc các hãng tàu Việt Nam vận","[chapter I | article 4 | clause 14] 14. Thu nhập từ tiền lương, tiền công của thuyền viên là người Việt Nam làm việc cho các hãng tàu nước ngoài hoặc các hãng tàu Việt Nam vận"
chunk:chapter I|article 4|clause 14:2,hãng tàu Việt Nam vận tải quốc tế.,[chapter I | article 4 | clause 14] hãng tàu Việt Nam vận tải quốc tế.
chunk:chapter I|article 4|clause 15:1,"15. Thu nhập của cá nhân là chủ tàu, cá nhân có quyền sử dụng tàu và cá nhân làm việc trên tàu từ hoạt động cung cấp hàng hóa,","[chapter I | article 4 | clause 15] 15. Thu nhập của cá nhân là chủ tàu, cá nhân có quyền sử dụng tàu và cá nhân làm việc trên tàu từ hoạt động cung cấp hàng hóa,"
chunk:chapter I|article 4|clause 15:2,"động cung cấp hàng hóa, dịch vụ trực tiếp phục vụ hoạt động khai thác, đánh bắt thủy sản xa bờ.","[chapter I | article 4 | clause 15] động cung cấp hàng hóa, dịch vụ trực tiếp phục vụ hoạt động khai thác, đánh bắt thủy sản xa bờ."
chunk:chapter I|article 4|clause 16:1,"16. Thu nhập từ chuyển nhượng lần đầu kết quả giảm phát thải khí nhà kính của cá nhân được công nhận kết quả giảm phát thải khí nhà kính,","[chapter I | article 4 | clause 16] 16. Thu nhập từ chuyển nhượng lần đầu kết quả giảm phát thải khí nhà kính của cá nhân được công nhận kết quả giảm phát thải khí nhà kính,"
chunk:chapter I|article 4|clause 16:2,"phát thải khí nhà kính, tín chỉ các bon của cá nhân được cấp tín chỉ các bon; thu nhập từ tiền lãi trái phiếu xanh; thu nhập từ chuyển","[chapter I | article 4 | clause 16] phát thải khí nhà kính, tín chỉ các bon của cá nhân được cấp tín chỉ các bon; thu nhập từ tiền lãi trái phiếu xanh; thu nhập từ chuyển"
chunk:chapter I|article 4|clause 16:3,xanh; thu nhập từ chuyển nhượng lần đầu trái phiếu xanh sau khi phát hành.,[chapter I | article 4 | clause 16] xanh; thu nhập từ chuyển nhượng lần đầu trái phiếu xanh sau khi phát hành.
chunk:chapter I|article 4|clause 17:1,"17. Thu nhập từ tiền lương, tiền công từ thực hiện nhiệm vụ khoa học, công nghệ và đổi mới sáng tạo.","[chapter I | article 4 | clause 17] 17. Thu nhập từ tiền lương, tiền công từ thực hiện nhiệm vụ khoa học, công nghệ và đổi mới sáng tạo."
chunk:chapter I|article 4|clause 18:1,"18. Thu nhập từ quyền tác giả của nhiệm vụ khoa học, công nghệ và đổi mới sáng tạo khi kết quả nhiệm vụ được thương mại hóa theo quy","[chapter I | article 4 | clause 18] 18. Thu nhập từ quyền tác giả của nhiệm vụ khoa học, công nghệ và đổi mới sáng tạo khi kết quả nhiệm vụ được thương mại hóa theo quy"
chunk:chapter I|article 4|clause 18:2,"thương mại hóa theo quy định của pháp luật về khoa học, công nghệ và đổi mới sáng tạo, pháp luật về sở hữu trí tuệ.","[chapter I | article 4 | clause 18] thương mại hóa theo quy định của pháp luật về khoa học, công nghệ và đổi mới sáng tạo, pháp luật về sở hữu trí tuệ."
chunk:chapter I|article 4|clause 19:1,"19. Thu nhập của nhà đầu tư cá nhân, chuyên gia từ dự án khởi nghiệp sáng tạo, sáng lập viên cho doanh nghiệp khởi nghiệp sáng tạo, nhà đầu","[chapter I | article 4 | clause 19] 19. Thu nhập của nhà đầu tư cá nhân, chuyên gia từ dự án khởi nghiệp sáng tạo, sáng lập viên cho doanh nghiệp khởi nghiệp sáng tạo, nhà đầu"
chunk:chapter I|article 4|clause 19:2,"nghiệp sáng tạo, nhà đầu tư cá nhân góp vốn vào quỹ đầu tư mạo hiểm.","[chapter I | article 4 | clause 19] nghiệp sáng tạo, nhà đầu tư cá nhân góp vốn vào quỹ đầu tư mạo hiểm."
chunk:chapter I|article 4|clause 20:1,"20. Thu nhập từ tiền lương, tiền công của chuyên gia nước ngoài làm việc tại chương trình, dự án tài trợ bằng nguồn vốn ODA không hoàn lại, chương","[chapter I | article 4 | clause 20] 20. Thu nhập từ tiền lương, tiền công của chuyên gia nước ngoài làm việc tại chương trình, dự án tài trợ bằng nguồn vốn ODA không hoàn lại, chương"
chunk:chapter I|article 4|clause 20:2,"ODA không hoàn lại, chương trình, dự án phi chính phủ nước ngoài tại Việt Nam; cá nhân là người Việt Nam làm việc tại cơ quan đại diện của","[chapter I | article 4 | clause 20] ODA không hoàn lại, chương trình, dự án phi chính phủ nước ngoài tại Việt Nam; cá nhân là người Việt Nam làm việc tại cơ quan đại diện của"
chunk:chapter I|article 4|clause 20:3,cơ quan đại diện của tổ chức quốc tế thuộc Hệ thống Liên hợp quốc tại Việt Nam; cá nhân tham gia lực lượng gìn giữ hòa bình của Liên,[chapter I | article 4 | clause 20] cơ quan đại diện của tổ chức quốc tế thuộc Hệ thống Liên hợp quốc tại Việt Nam; cá nhân tham gia lực lượng gìn giữ hòa bình của Liên
chunk:chapter I|article 4|clause 20:4,giữ hòa bình của Liên hợp quốc.,[chapter I | article 4 | clause 20] giữ hòa bình của Liên hợp quốc.
chunk:chapter I|article 4|clause 21:1,"21. Thu nhập sau khi đã nộp thuế thu nhập doanh nghiệp của cá nhân là chủ doanh nghiệp tư nhân, cá nhân là chủ công ty trách nhiệm hữu","[chapter I | article 4 | clause 21] 21. Thu nhập sau khi đã nộp thuế thu nhập doanh nghiệp của cá nhân là chủ doanh nghiệp tư nhân, cá nhân là chủ công ty trách nhiệm hữu"
chunk:chapter I|article 4|clause 21:2,công ty trách nhiệm hữu hạn một thành viên.,[chapter I | article 4 | clause 21] công ty trách nhiệm hữu hạn một thành viên.
chunk:chapter I|article 4|clause 22:1,22. Chính phủ quy định chi tiết Điều này.,[chapter I | article 4 | clause 22] 22. Chính phủ quy định chi tiết Điều này.
